n,mse,rmse,mae,median_abs_error,bias,p90_abs_error,p95_abs_error,p99_abs_error,max_abs_error,seed,regime,option_type
265,0.002580412799733531,0.050797763727683236,0.02019535587074077,0.008090319900981802,-0.006025348356017714,0.034759400569241636,0.0834435877447121,0.22345865711450702,0.4644275827702973,67,jan27,CE
259,0.0013156950099504489,0.036272510389418165,0.019698520304220438,0.008770430703415877,0.005403017394115622,0.04785880589981016,0.07870096776437767,0.14232535115082212,0.21850289303604797,67,jan27,PE
1052,1.2177831416217721e-05,0.0034896749728617594,0.001617748441768231,0.0008895429818882514,0.0007169630334403543,0.0029964369448146565,0.004999496581532494,0.015675349733109217,0.039549974174519095,67,pre27,CE
1045,1.0193954982695376e-06,0.0010096511765305567,0.000678970069032144,0.0004972626728851071,0.00022085626098458278,0.0013767023884868363,0.0019235282899786373,0.003929790754067423,0.0078666735065549,67,pre27,PE
265,0.0007534413936377494,0.027448886928940295,0.017013223000421976,0.009470696578593785,0.0009122074907230575,0.041665578627104745,0.05139641382288001,0.1066066205101849,0.12398513334202921,71,jan27,CE
259,0.0006677355280590438,0.02584057909682064,0.015835199246078433,0.008909615215644928,0.004178422311059841,0.03630000778614586,0.058153918584552655,0.10250511026574721,0.1358160613283586,71,jan27,PE
1052,1.1855587564941233e-05,0.003443194383844925,0.001571812717768658,0.0008405828225820575,0.0006443601816895873,0.0031649904317513316,0.005063266481438286,0.014131534260860081,0.039549974174519095,71,pre27,CE
1045,1.3972798069443593e-06,0.0011820659063454793,0.0007439476380850552,0.000521434467039894,0.00022526101078113356,0.0015487254395442295,0.0020571476197320925,0.00432615333963962,0.011034244010713498,71,pre27,PE
265,0.0013880902874636725,0.03725708372194035,0.021160075896791978,0.010044105659468006,0.0023133087288696326,0.05714487235418249,0.08242286989165608,0.14811275777389327,0.24759746285041243,83,jan27,CE
259,0.0016860104875473833,0.04106105804223003,0.0195658788765193,0.008797444350694572,0.001753160899470915,0.051118646264932587,0.06440431875323442,0.20764596601418184,0.3114047096053172,83,jan27,PE
1052,7.728907254593266e-06,0.0027800912313435447,0.0015024790949664042,0.0008676305559092018,0.0003810387475649017,0.0031267869968856056,0.005176220679870093,0.011303774641486429,0.025614927679105393,83,pre27,CE
1045,1.3781396724668493e-06,0.0011739419374342368,0.0007372523865780294,0.0004958676753964025,0.00021028747096373278,0.0014975638021373916,0.002196652703321877,0.004700471157627936,0.009026858017379208,83,pre27,PE
265,0.001472921441341396,0.03837865867043032,0.020657733997328332,0.009801696051614073,-0.001596924672269816,0.0475627890139333,0.07029628515454246,0.18521478929862534,0.26670145661076283,97,jan27,CE
259,0.0014496250633176347,0.038073942051193424,0.01962546601302618,0.009208174108416345,0.009131865806142883,0.03939056124075141,0.07663552837437673,0.18116610492472862,0.25299413388519065,97,jan27,PE
1052,9.328643873279791e-06,0.0030542828738150288,0.0015840931933024458,0.0008587605525313402,0.00038540430805732314,0.0032527645738586208,0.006047413145629988,0.01241480086827877,0.034010530736242606,97,pre27,CE
1045,1.2219384482520461e-06,0.0011054132477277654,0.0007382985903919791,0.0004993482089361845,0.0002350893575126781,0.001692701191956908,0.002335807489970459,0.004013338463741232,0.0069523064823799885,97,pre27,PE
